MID,1,2,3,4,5,6,7,8,9,10,11,Name,Gender
1,0,5,4,0,2,0,1,1,0,2,0,prince carl phillip,m
2,5,0,4,0,0,0,0,0,0,0,0,princess sofia,f
3,1,1,0,0,0,0,3,3,0,0,0,prince alexander,m
4,0,0,0,0,5,4,0,0,0,0,0,prince daniel,m
5,2,0,0,5,0,4,1,1,0,2,0,crown princess victoria,f
6,0,0,0,1,1,0,3,3,0,0,0,princess estelle,f
7,4,0,6,0,4,6,0,5,0,4,6,carl xvi gustaf,m
8,4,0,6,0,4,6,5,0,0,4,6,queen silvia,f
9,0,0,0,0,0,0,0,0,0,5,4,christopher o'neill,m
10,2,0,0,0,2,0,1,1,5,0,4,princess madeleine,f
11,0,0,0,0,0,0,3,3,1,1,0,princess leonore,f
