MID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Name,Gender
1,0,7,3,0,0,0,2,0,0,1,2,0,0,3,delfina,f
2,8,0,4,4,6,4,8,4,4,6,6,0,0,0,adele,f
3,6,1,0,2,0,2,6,2,2,4,4,8,8,5,anna,f
4,0,1,2,0,4,2,0,2,2,0,0,0,0,0,carla,f
5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,carla's daughter,f
6,0,1,2,2,0,0,0,2,2,0,0,0,0,0,franca,f
7,2,7,3,0,0,0,0,0,0,1,2,0,4,3,delfina sister,f
8,0,1,2,2,0,2,0,0,2,0,0,0,0,0,paola,f
9,0,1,2,2,0,2,0,2,0,0,0,0,0,0,alda,m
10,4,3,1,0,0,0,4,0,0,0,4,6,3,1,silvia,f
11,2,3,1,0,0,0,2,0,0,1,0,4,0,3,ilaria,f
12,0,0,7,0,0,0,0,0,0,3,1,0,0,7,anna ii,f
13,0,0,7,0,0,0,1,0,0,6,0,0,0,7,emma,f
14,6,0,5,0,0,0,6,0,0,4,6,8,8,0,anna husband,m
